Component_ID,Lot_ID,Component_Type,Temperature_C,Iddq_0h_uA,Iddq_24h_uA,Iddq_96h_uA,Iddq_168h_uA,Leakage_0h_uA,Leakage_24h_uA,Leakage_96h_uA,Leakage_168h_uA,Delay_0h_ns,Delay_24h_ns,Delay_96h_ns,Delay_168h_ns,Iddq_Max_Limit_uA,Leakage_Max_Limit_uA,Delay_Max_Limit_ns
IC01696,LOT16,SRAM,129.75,9.116,9.445,9.558,9.879,4.821,4.944,5.057,5.201,9.482,9.484,9.556,9.662,50.0,50.0,30.0
IC00914,LOT14,SRAM,123.72,9.288,9.635,10.096,10.489,5.151,5.234,5.326,5.598,9.08,9.136,9.265,9.393,50.0,50.0,30.0
IC01091,LOT11,SRAM,119.13,9.042,9.495,9.611,10.113,4.526,4.587,4.813,4.963,9.107,9.186,9.207,9.17,50.0,50.0,30.0
IC00950,LOT10,CMOS_LOGIC,124.12,9.487,9.966,10.053,10.282,5.024,5.228,5.473,5.635,9.707,9.784,9.876,10.093,50.0,50.0,30.0
IC01472,LOT12,MICROCONTROLLER,124.91,11.411,11.784,12.227,12.577,5.252,5.478,5.795,5.971,10.41,10.497,10.516,10.638,50.0,50.0,30.0
IC01801,LOT01,MIXED_SIGNAL_IC,125.48,9.299,9.392,9.94,10.166,5.177,5.346,5.6,5.804,9.701,9.787,9.867,9.954,50.0,50.0,30.0
IC00716,LOT16,MICROCONTROLLER,121.59,9.329,9.612,9.882,10.158,4.518,4.753,4.888,5.101,9.506,9.575,9.615,9.664,50.0,50.0,30.0
IC01898,LOT18,MIXED_SIGNAL_IC,125.72,10.132,10.315,10.489,10.721,4.827,5.022,5.165,5.271,10.524,10.618,10.68,10.727,50.0,50.0,30.0
IC01675,LOT15,CMOS_LOGIC,129.95,9.91,13.37,19.109,30.141,5.253,7.195,12.827,20.019,9.47,10.412,12.489,16.857,50.0,50.0,30.0
IC00376,LOT16,MICROCONTROLLER,125.54,9.865,10.1,10.294,10.416,4.858,4.959,5.079,5.296,9.192,9.213,9.228,9.429,50.0,50.0,30.0
IC00354,LOT14,MICROCONTROLLER,125.65,10.223,10.603,10.98,11.304,4.87,5.048,5.244,5.403,9.258,9.302,9.403,9.496,50.0,50.0,30.0
IC00358,LOT18,MIXED_SIGNAL_IC,124.65,9.878,10.28,10.732,50.751,5.413,5.676,5.989,74.21,10.283,10.278,10.641,49.175,50.0,50.0,30.0
IC00465,LOT05,CMOS_LOGIC,124.33,9.927,10.431,10.554,11.022,4.413,4.546,4.753,5.107,9.311,9.341,9.446,9.591,50.0,50.0,30.0
IC01598,LOT18,MIXED_SIGNAL_IC,123.98,9.886,10.412,10.441,10.617,5.043,5.128,5.205,5.397,10.006,10.083,10.14,10.223,50.0,50.0,30.0
IC00208,LOT08,CMOS_LOGIC,124.72,10.481,10.812,11.048,11.374,5.27,5.515,5.784,6.103,10.608,10.64,10.684,10.832,50.0,50.0,30.0
IC00394,LOT14,SRAM,127.42,8.659,8.978,9.063,9.305,4.985,5.186,5.312,5.36,9.812,9.853,9.927,10.034,50.0,50.0,30.0
IC00263,LOT03,MIXED_SIGNAL_IC,127.95,11.122,11.483,11.675,12.107,5.231,5.466,5.768,5.871,10.478,10.519,10.521,10.583,50.0,50.0,30.0
IC00686,LOT06,SRAM,124.25,8.978,9.416,9.477,9.826,4.35,4.535,4.59,4.904,9.51,9.595,9.663,9.825,50.0,50.0,30.0
IC01432,LOT12,MICROCONTROLLER,125.9,10.533,11.013,11.21,11.694,5.313,5.486,5.652,5.933,10.319,10.415,10.498,10.562,50.0,50.0,30.0
IC00436,LOT16,MICROCONTROLLER,128.1,9.75,9.958,10.196,10.48,4.494,4.69,4.893,5.167,9.39,9.456,9.546,9.681,50.0,50.0,30.0
IC01620,LOT20,SRAM,122.43,9.314,9.587,9.916,10.339,4.836,5.067,5.348,5.707,9.873,9.903,9.967,9.944,50.0,50.0,30.0
IC00896,LOT16,CMOS_LOGIC,120.61,9.33,11.409,17.716,30.158,4.662,5.7,10.122,15.279,8.961,9.72,11.231,13.862,50.0,50.0,30.0
IC01713,LOT13,MICROCONTROLLER,128.82,10.902,10.962,11.192,11.481,5.573,5.846,6.099,6.326,10.882,10.901,10.968,11.027,50.0,50.0,30.0
IC00274,LOT14,CMOS_LOGIC,127.39,8.991,9.267,9.454,9.878,5.1,5.165,5.297,5.515,9.793,9.893,9.988,10.04,50.0,50.0,30.0
IC01060,LOT20,CMOS_LOGIC,124.47,9.787,10.205,10.529,10.786,5.031,5.235,5.442,5.683,9.676,9.707,9.793,9.943,50.0,50.0,30.0
IC00103,LOT03,MICROCONTROLLER,123.7,9.762,9.896,10.557,62.239,5.148,5.416,5.733,71.928,9.966,10.023,10.127,43.371,50.0,50.0,30.0
IC00002,LOT02,SRAM,123.8,11.125,11.423,11.546,11.945,5.174,5.251,5.466,5.559,11.361,11.358,11.446,11.583,50.0,50.0,30.0
IC01046,LOT06,MIXED_SIGNAL_IC,125.67,9.692,9.94,10.082,10.432,4.761,4.871,5.105,5.289,10.197,10.231,10.387,10.466,50.0,50.0,30.0
IC01791,LOT11,MICROCONTROLLER,123.63,8.465,9.09,9.434,9.677,4.469,4.606,4.798,5.057,9.276,9.326,9.387,9.462,50.0,50.0,30.0
IC00659,LOT19,MICROCONTROLLER,124.43,9.347,9.479,9.806,10.107,5.176,5.302,5.607,5.964,9.638,9.68,9.789,9.777,50.0,50.0,30.0
IC01842,LOT02,MICROCONTROLLER,121.67,10.096,13.487,20.123,28.882,5.455,7.924,14.078,23.545,10.287,11.339,13.785,17.422,50.0,50.0,30.0
IC00270,LOT10,MICROCONTROLLER,122.16,9.978,10.184,10.343,10.43,5.364,5.542,5.614,5.765,10.038,10.005,10.081,10.174,50.0,50.0,30.0
IC00536,LOT16,MIXED_SIGNAL_IC,128.84,9.486,11.698,17.147,26.603,4.733,6.654,12.469,21.965,9.849,10.786,11.996,14.462,50.0,50.0,30.0
IC00180,LOT20,SRAM,121.32,9.22,9.483,10.024,10.376,4.462,4.53,4.69,5.022,9.451,9.585,9.602,9.608,50.0,50.0,30.0
IC00227,LOT07,SRAM,124.84,9.25,9.475,9.814,9.963,4.231,4.316,4.576,4.853,9.589,9.621,9.715,9.768,50.0,50.0,30.0
IC01683,LOT03,SRAM,124.52,10.283,10.44,10.487,10.842,5.017,5.161,5.425,5.716,10.194,10.194,10.274,10.373,50.0,50.0,30.0
IC01486,LOT06,MICROCONTROLLER,126.2,10.117,10.518,10.849,11.336,4.199,4.41,4.74,4.983,9.591,9.624,9.691,9.859,50.0,50.0,30.0
IC01769,LOT09,MICROCONTROLLER,126.9,9.633,9.874,10.047,10.54,5.066,5.168,5.377,5.533,10.145,10.229,10.29,10.28,50.0,50.0,30.0
IC00837,LOT17,MICROCONTROLLER,122.36,9.808,13.274,20.659,30.38,4.676,6.099,9.357,19.064,9.508,10.354,11.708,15.88,50.0,50.0,30.0
IC00651,LOT11,CMOS_LOGIC,128.98,9.336,9.392,9.603,10.005,4.458,4.663,4.599,4.834,9.433,9.507,9.54,9.622,50.0,50.0,30.0
IC00070,LOT10,MIXED_SIGNAL_IC,124.45,10.298,10.408,10.749,11.144,5.038,5.214,5.346,5.592,9.435,9.485,9.519,9.694,50.0,50.0,30.0
IC01038,LOT18,MIXED_SIGNAL_IC,126.55,10.492,10.971,11.191,11.353,5.385,5.52,5.669,5.954,9.531,9.555,9.559,9.648,50.0,50.0,30.0
IC00188,LOT08,MIXED_SIGNAL_IC,121.6,10.015,10.439,10.61,11.013,5.618,5.702,5.964,6.228,10.629,10.701,10.734,10.789,50.0,50.0,30.0
IC01212,LOT12,CMOS_LOGIC,123.64,10.473,13.414,20.134,30.999,5.388,6.524,12.779,20.907,10.714,11.343,13.555,15.889,50.0,50.0,30.0
IC01167,LOT07,MIXED_SIGNAL_IC,120.16,9.479,9.649,9.759,9.894,4.578,4.772,4.943,5.135,8.954,8.923,8.966,9.052,50.0,50.0,30.0
IC00123,LOT03,CMOS_LOGIC,124.19,10.306,10.833,11.432,69.636,5.269,5.549,6.055,65.706,10.086,10.296,10.538,41.748,50.0,50.0,30.0
IC00671,LOT11,CMOS_LOGIC,127.44,9.024,9.412,9.497,9.461,4.64,4.868,5.085,5.421,9.112,9.213,9.256,9.359,50.0,50.0,30.0
IC01754,LOT14,CMOS_LOGIC,125.61,9.238,9.493,9.74,10.165,4.36,4.633,4.881,5.032,9.518,9.554,9.658,9.782,50.0,50.0,30.0
IC01485,LOT05,MICROCONTROLLER,122.32,9.468,9.789,9.994,10.056,4.591,4.768,5.131,5.461,9.371,9.499,9.615,9.708,50.0,50.0,30.0
IC01376,LOT16,CMOS_LOGIC,124.62,9.282,9.777,10.131,10.603,4.752,4.926,4.979,5.352,9.036,9.051,9.1,9.208,50.0,50.0,30.0
IC00421,LOT01,MIXED_SIGNAL_IC,124.11,9.643,10.072,10.451,10.771,4.752,4.922,5.146,5.31,9.882,9.973,10.003,10.049,50.0,50.0,30.0
IC01203,LOT03,MIXED_SIGNAL_IC,126.33,9.92,10.258,10.605,11.015,5.006,5.097,5.273,5.578,10.915,10.933,10.996,11.07,50.0,50.0,30.0
IC00797,LOT17,CMOS_LOGIC,124.13,9.754,13.419,21.09,32.419,4.744,6.794,12.153,19.087,9.959,10.937,13.752,16.583,50.0,50.0,30.0
IC00675,LOT15,MICROCONTROLLER,129.05,9.215,9.38,9.592,10.003,5.326,5.462,5.745,5.965,9.913,9.96,10.078,10.208,50.0,50.0,30.0
IC01272,LOT12,MIXED_SIGNAL_IC,124.99,11.65,11.953,12.058,12.461,5.384,5.566,5.754,5.977,10.152,10.193,10.273,10.335,50.0,50.0,30.0
IC00989,LOT09,MICROCONTROLLER,123.24,10.866,11.217,11.475,11.857,5.68,5.868,6.088,6.262,10.358,10.419,10.495,10.555,50.0,50.0,30.0
IC01779,LOT19,MICROCONTROLLER,126.0,10.302,10.592,10.916,11.228,4.78,4.895,5.052,5.339,10.088,10.143,10.248,10.268,50.0,50.0,30.0
IC00477,LOT17,SRAM,124.35,9.31,9.705,10.0,10.325,4.603,4.767,4.993,5.279,9.754,9.788,9.894,9.954,50.0,50.0,30.0
IC00212,LOT12,CMOS_LOGIC,127.45,10.731,11.023,11.051,11.445,5.491,5.543,5.659,5.89,11.508,11.563,11.602,11.689,50.0,50.0,30.0
IC01886,LOT06,MICROCONTROLLER,126.83,9.48,9.626,9.926,9.955,4.401,4.674,4.961,5.084,10.082,10.144,10.214,10.322,50.0,50.0,30.0
IC00763,LOT03,SRAM,124.88,10.934,11.274,11.769,52.623,5.451,5.663,5.993,59.761,10.305,10.392,10.479,35.671,50.0,50.0,30.0
IC00602,LOT02,MICROCONTROLLER,127.51,10.139,10.505,10.853,11.252,5.043,5.223,5.31,5.555,10.803,10.892,10.99,11.099,50.0,50.0,30.0
IC01184,LOT04,MICROCONTROLLER,125.95,10.097,10.545,10.939,11.172,5.073,5.189,5.45,5.695,10.584,10.632,10.684,10.855,50.0,50.0,30.0
IC01447,LOT07,MIXED_SIGNAL_IC,123.91,9.268,9.279,9.313,9.583,4.787,5.03,5.252,5.494,8.864,8.967,9.067,9.218,50.0,50.0,30.0
IC01026,LOT06,MIXED_SIGNAL_IC,126.2,9.933,10.405,10.77,11.129,4.375,4.509,4.729,5.118,9.184,9.23,9.338,9.472,50.0,50.0,30.0
IC01169,LOT09,MICROCONTROLLER,127.6,10.216,10.751,10.886,11.146,5.652,5.855,6.097,6.345,10.454,10.461,10.454,10.543,50.0,50.0,30.0
IC00717,LOT17,CMOS_LOGIC,125.28,9.714,10.062,10.521,10.827,4.682,4.815,4.987,5.149,9.309,9.332,9.457,9.454,50.0,50.0,30.0
IC01280,LOT20,MICROCONTROLLER,125.68,9.777,11.799,18.977,29.154,4.795,6.472,10.874,20.462,9.698,10.449,13.19,17.447,50.0,50.0,30.0
IC00917,LOT17,MICROCONTROLLER,122.14,9.721,9.988,10.245,10.307,4.617,4.687,4.966,5.215,10.042,10.069,10.126,10.253,50.0,50.0,30.0
IC00408,LOT08,MIXED_SIGNAL_IC,125.09,10.54,10.907,11.419,56.771,5.457,5.609,6.144,71.72,10.58,10.653,10.791,47.291,50.0,50.0,30.0
IC01741,LOT01,MIXED_SIGNAL_IC,122.99,9.442,9.681,9.972,10.399,4.666,4.814,5.103,5.543,9.449,9.515,9.592,9.576,50.0,50.0,30.0
IC00567,LOT07,SRAM,125.82,9.252,9.49,9.739,9.892,4.842,5.101,5.163,5.548,9.848,9.901,9.998,10.09,50.0,50.0,30.0
IC00719,LOT19,SRAM,124.29,9.89,10.25,10.603,10.984,4.913,5.135,5.42,5.684,10.02,10.153,10.287,10.347,50.0,50.0,30.0
IC01983,LOT03,SRAM,125.85,11.416,11.759,12.023,12.469,5.349,5.525,5.725,5.869,10.009,9.98,10.111,10.23,50.0,50.0,30.0
IC00435,LOT15,SRAM,124.01,9.022,9.306,9.522,9.88,4.779,4.896,5.117,5.372,9.851,9.881,10.0,10.133,50.0,50.0,30.0
IC00715,LOT15,MIXED_SIGNAL_IC,125.08,9.159,9.549,9.803,10.136,4.911,5.019,5.244,5.446,9.181,9.214,9.234,9.295,50.0,50.0,30.0
IC00199,LOT19,MICROCONTROLLER,123.15,9.602,10.129,10.415,59.57,4.841,5.07,5.299,57.792,10.001,10.151,10.339,49.764,50.0,50.0,30.0
IC00696,LOT16,SRAM,124.76,8.991,9.306,9.491,9.825,5.022,5.154,5.26,5.439,9.006,8.99,9.018,9.142,50.0,50.0,30.0
IC00767,LOT07,MICROCONTROLLER,125.67,9.724,9.929,10.203,10.618,5.108,5.209,5.334,5.556,9.525,9.602,9.627,9.692,50.0,50.0,30.0
IC00739,LOT19,MIXED_SIGNAL_IC,128.25,9.895,10.278,10.418,10.489,5.067,5.249,5.495,5.828,9.749,9.72,9.773,9.861,50.0,50.0,30.0
IC01619,LOT19,MICROCONTROLLER,122.55,9.753,10.234,10.591,11.005,4.711,4.822,5.072,5.211,10.29,10.279,10.355,10.481,50.0,50.0,30.0
IC01031,LOT11,SRAM,125.06,9.041,9.303,9.729,9.973,4.199,4.448,4.567,4.755,9.003,9.098,9.155,9.309,50.0,50.0,30.0
IC00787,LOT07,CMOS_LOGIC,125.49,9.969,10.168,10.642,11.001,4.301,4.504,4.738,5.018,9.24,9.256,9.318,9.421,50.0,50.0,30.0
IC01315,LOT15,MIXED_SIGNAL_IC,127.35,9.233,9.882,10.355,65.794,4.863,5.117,5.312,63.388,9.368,9.494,9.729,47.939,50.0,50.0,30.0
IC01245,LOT05,MICROCONTROLLER,126.52,9.334,9.512,9.736,10.184,4.983,5.027,5.195,5.463,9.84,9.821,9.919,10.096,50.0,50.0,30.0
IC00872,LOT12,CMOS_LOGIC,122.0,10.648,13.973,22.351,34.18,5.345,6.914,11.589,17.52,10.831,11.535,14.136,18.371,50.0,50.0,30.0
IC00033,LOT13,SRAM,121.67,9.855,10.265,10.254,10.797,5.039,5.084,5.389,5.566,9.73,9.802,9.852,10.036,50.0,50.0,30.0
IC00825,LOT05,MIXED_SIGNAL_IC,126.48,9.384,9.467,9.654,9.647,4.176,4.31,4.478,4.687,10.351,10.414,10.484,10.611,50.0,50.0,30.0
IC01894,LOT14,MIXED_SIGNAL_IC,126.84,9.671,9.975,10.338,10.519,5.074,5.238,5.468,5.674,9.604,9.68,9.779,9.874,50.0,50.0,30.0
IC00052,LOT12,MIXED_SIGNAL_IC,120.84,11.38,11.64,12.051,12.61,5.543,5.734,5.89,6.107,10.561,10.56,10.644,10.662,50.0,50.0,30.0
IC01478,LOT18,SRAM,124.9,9.778,13.568,19.897,30.79,4.419,5.779,11.57,20.441,9.458,10.165,12.592,16.352,50.0,50.0,30.0
IC00218,LOT18,MIXED_SIGNAL_IC,125.34,9.347,9.612,9.734,9.819,5.373,5.593,5.883,6.12,9.889,9.912,9.977,10.06,50.0,50.0,30.0
IC00997,LOT17,MIXED_SIGNAL_IC,125.27,9.869,10.129,10.246,10.526,4.862,5.04,5.259,5.418,9.289,9.289,9.386,9.518,50.0,50.0,30.0
IC00957,LOT17,CMOS_LOGIC,124.73,9.432,9.666,9.751,10.129,5.088,5.264,5.532,5.773,9.512,9.574,9.666,9.695,50.0,50.0,30.0
IC00095,LOT15,CMOS_LOGIC,124.33,9.163,9.353,9.785,10.247,4.935,5.041,5.189,5.391,9.647,9.677,9.795,9.916,50.0,50.0,30.0
IC00077,LOT17,MIXED_SIGNAL_IC,127.47,9.212,9.656,10.086,10.407,4.521,4.643,4.969,5.233,9.222,9.316,9.375,9.477,50.0,50.0,30.0
IC00996,LOT16,CMOS_LOGIC,128.87,9.351,9.661,9.932,10.211,4.907,5.117,5.368,5.54,9.781,9.791,9.861,9.998,50.0,50.0,30.0
IC00360,LOT20,SRAM,126.46,9.958,10.288,10.794,54.933,4.918,5.293,5.524,63.931,10.029,10.086,10.363,43.474,50.0,50.0,30.0
IC01770,LOT10,CMOS_LOGIC,124.58,9.445,9.864,10.257,10.435,5.217,5.35,5.619,5.869,9.934,9.928,10.003,10.06,50.0,50.0,30.0
IC00911,LOT11,MIXED_SIGNAL_IC,126.24,9.37,12.538,21.02,30.364,4.991,6.173,11.129,17.012,9.146,10.073,11.747,14.325,50.0,50.0,30.0
IC01699,LOT19,MIXED_SIGNAL_IC,126.14,9.48,9.577,9.74,9.882,4.669,4.85,4.943,5.308,9.883,9.88,9.919,10.052,50.0,50.0,30.0
IC00026,LOT06,MICROCONTROLLER,123.09,8.518,8.817,8.985,9.28,5.057,5.283,5.537,5.826,9.278,9.332,9.354,9.412,50.0,50.0,30.0
IC01979,LOT19,MICROCONTROLLER,128.32,10.585,10.763,11.012,11.222,5.156,5.378,5.483,5.558,10.287,10.281,10.351,10.35,50.0,50.0,30.0
IC00140,LOT20,MICROCONTROLLER,125.61,9.917,10.228,10.454,10.736,5.001,5.139,5.419,5.716,9.878,9.811,9.917,10.026,50.0,50.0,30.0
IC01978,LOT18,SRAM,122.57,10.617,10.765,10.902,11.289,5.038,5.219,5.481,5.84,10.094,10.165,10.229,10.335,50.0,50.0,30.0
IC01785,LOT05,CMOS_LOGIC,126.25,9.314,9.609,9.74,10.04,4.499,4.591,4.75,4.952,10.016,10.061,10.195,10.3,50.0,50.0,30.0
IC00142,LOT02,MICROCONTROLLER,126.34,10.381,10.485,10.712,10.946,5.383,5.539,5.73,5.982,10.16,10.234,10.296,10.385,50.0,50.0,30.0
IC00330,LOT10,SRAM,126.67,10.059,10.497,10.596,10.899,5.027,5.161,5.433,5.638,10.083,10.15,10.183,10.397,50.0,50.0,30.0
IC01871,LOT11,MIXED_SIGNAL_IC,127.58,9.214,9.536,9.687,10.1,4.928,5.019,5.292,5.569,9.499,9.525,9.69,9.836,50.0,50.0,30.0
IC01370,LOT10,MICROCONTROLLER,127.71,10.272,10.393,10.788,11.102,5.118,5.313,5.55,5.847,10.644,10.646,10.773,10.886,50.0,50.0,30.0
IC01684,LOT04,MICROCONTROLLER,127.02,10.285,10.564,10.839,11.103,5.349,5.45,5.583,5.901,10.767,10.825,10.979,11.128,50.0,50.0,30.0
IC01496,LOT16,SRAM,124.02,9.337,12.977,21.583,30.114,4.976,7.315,11.005,19.69,9.094,10.104,11.319,13.871,50.0,50.0,30.0
IC01350,LOT10,SRAM,127.28,10.36,10.588,11.009,11.434,5.429,5.538,5.735,6.142,9.945,9.947,9.95,10.023,50.0,50.0,30.0
IC00253,LOT13,MICROCONTROLLER,122.87,10.107,10.335,10.581,10.756,5.081,5.305,5.466,5.838,10.704,10.756,10.78,10.872,50.0,50.0,30.0
IC01494,LOT14,SRAM,125.63,8.522,8.784,9.201,9.374,4.744,4.983,5.211,5.51,9.611,9.648,9.676,9.822,50.0,50.0,30.0
IC01059,LOT19,MICROCONTROLLER,125.23,9.814,12.329,21.032,29.737,5.193,7.646,12.412,19.696,9.492,10.114,12.505,15.655,50.0,50.0,30.0
IC01764,LOT04,SRAM,125.49,10.684,11.024,11.211,11.535,5.127,5.36,5.588,5.799,9.928,9.937,9.988,10.129,50.0,50.0,30.0
IC00427,LOT07,MICROCONTROLLER,129.11,9.648,9.77,9.846,10.297,5.186,5.288,5.379,5.709,9.581,9.612,9.73,9.784,50.0,50.0,30.0
IC00415,LOT15,MICROCONTROLLER,122.45,10.244,10.607,10.976,11.401,4.881,4.984,5.121,5.28,9.078,9.192,9.297,9.356,50.0,50.0,30.0
IC01170,LOT10,CMOS_LOGIC,124.59,10.932,11.003,11.229,11.354,5.266,5.406,5.609,5.948,10.027,10.017,10.134,10.238,50.0,50.0,30.0
IC00768,LOT08,MICROCONTROLLER,121.21,10.35,10.641,10.579,11.03,4.951,5.176,5.408,5.708,11.239,11.375,11.417,11.524,50.0,50.0,30.0
IC00244,LOT04,SRAM,118.32,10.897,11.265,11.539,11.827,4.843,5.019,5.042,5.347,10.057,10.112,10.183,10.385,50.0,50.0,30.0
IC01907,LOT07,MIXED_SIGNAL_IC,127.06,9.413,9.569,9.751,10.246,4.809,4.864,5.079,5.175,9.889,9.925,10.084,10.211,50.0,50.0,30.0
IC01577,LOT17,SRAM,122.73,10.09,10.38,10.73,11.059,4.999,5.154,5.364,5.663,9.18,9.215,9.283,9.425,50.0,50.0,30.0
IC00441,LOT01,MIXED_SIGNAL_IC,124.13,9.604,12.143,20.346,30.615,4.642,6.648,10.762,17.668,9.959,11.153,12.799,16.065,50.0,50.0,30.0
IC01795,LOT15,MIXED_SIGNAL_IC,122.07,10.018,10.161,10.469,10.793,4.746,4.906,5.073,5.519,9.153,9.263,9.327,9.425,50.0,50.0,30.0
IC00526,LOT06,CMOS_LOGIC,125.17,9.971,10.276,10.476,10.704,4.724,4.829,5.065,5.212,10.01,10.027,10.16,10.213,50.0,50.0,30.0
IC00986,LOT06,SRAM,125.2,9.535,12.924,18.615,30.878,4.561,5.771,10.174,15.55,9.478,10.359,12.765,17.118,50.0,50.0,30.0
IC00615,LOT15,MICROCONTROLLER,126.11,9.736,9.94,9.935,10.385,4.743,4.919,5.025,5.333,9.492,9.593,9.704,9.759,50.0,50.0,30.0
IC01702,LOT02,MIXED_SIGNAL_IC,122.6,10.487,10.683,11.113,11.462,5.186,5.335,5.48,5.801,10.923,10.956,11.064,11.184,50.0,50.0,30.0
IC00434,LOT14,MIXED_SIGNAL_IC,126.99,9.685,9.991,10.327,10.584,5.443,5.736,5.949,6.177,9.817,9.834,9.957,10.101,50.0,50.0,30.0
IC00782,LOT02,SRAM,124.49,10.566,10.937,11.318,11.709,5.231,5.351,5.608,5.865,10.788,10.868,10.98,11.162,50.0,50.0,30.0
IC01609,LOT09,CMOS_LOGIC,124.01,10.305,12.48,21.254,33.186,4.831,6.132,11.363,20.158,10.384,11.03,12.398,15.278,50.0,50.0,30.0
IC00076,LOT16,MICROCONTROLLER,127.3,8.831,9.228,9.328,9.761,4.88,4.988,5.079,5.307,9.552,9.518,9.608,9.695,50.0,50.0,30.0
IC00128,LOT08,SRAM,121.99,10.816,11.246,11.427,11.785,5.176,5.489,5.716,5.951,10.461,10.48,10.552,10.608,50.0,50.0,30.0
IC00666,LOT06,CMOS_LOGIC,121.69,10.107,10.391,10.457,10.722,4.913,5.004,5.171,5.333,9.296,9.328,9.392,9.497,50.0,50.0,30.0
IC00788,LOT08,SRAM,123.99,10.005,13.001,19.597,31.349,5.484,6.594,9.907,18.167,10.489,11.33,13.952,18.243,50.0,50.0,30.0
IC01614,LOT14,SRAM,125.24,10.138,10.292,10.509,10.98,5.064,5.184,5.32,5.54,9.548,9.587,9.696,9.686,50.0,50.0,30.0
IC00998,LOT18,SRAM,124.02,9.402,9.609,9.959,10.286,4.686,4.779,4.938,5.228,9.599,9.677,9.762,9.805,50.0,50.0,30.0
IC00566,LOT06,MICROCONTROLLER,126.03,9.4,9.459,9.686,10.005,5.058,5.2,5.44,5.645,9.378,9.378,9.418,9.492,50.0,50.0,30.0
IC01307,LOT07,SRAM,127.03,8.593,10.754,16.541,29.434,5.074,7.345,13.537,19.248,9.648,10.296,12.586,15.84,50.0,50.0,30.0
IC01615,LOT15,MIXED_SIGNAL_IC,122.87,9.325,9.645,9.996,10.281,4.867,4.95,5.236,5.439,9.438,9.467,9.556,9.591,50.0,50.0,30.0
IC00620,LOT20,SRAM,127.29,9.836,10.231,10.445,10.714,4.441,4.577,4.905,5.227,10.742,10.774,10.804,10.964,50.0,50.0,30.0
IC01687,LOT07,CMOS_LOGIC,129.31,9.527,9.906,10.29,10.608,4.511,4.564,4.755,4.964,8.722,8.825,8.871,8.983,50.0,50.0,30.0
IC00807,LOT07,MICROCONTROLLER,124.11,9.17,9.403,9.773,10.215,4.97,5.216,5.46,5.802,9.257,9.296,9.417,9.554,50.0,50.0,30.0
IC00410,LOT10,MIXED_SIGNAL_IC,121.75,10.029,10.064,10.286,10.603,4.985,5.132,5.322,5.575,9.765,9.856,9.928,10.0,50.0,50.0,30.0
IC01028,LOT08,MICROCONTROLLER,124.14,11.501,11.706,11.757,11.998,5.551,5.687,5.892,6.198,10.268,10.343,10.469,10.524,50.0,50.0,30.0
IC01930,LOT10,MICROCONTROLLER,127.36,10.355,10.722,10.852,11.135,5.097,5.201,5.414,5.601,10.831,10.884,10.954,11.046,50.0,50.0,30.0
IC01190,LOT10,MIXED_SIGNAL_IC,122.97,9.742,10.089,10.317,10.494,5.046,5.112,5.494,5.653,10.251,10.28,10.381,10.499,50.0,50.0,30.0
IC01189,LOT09,SRAM,120.92,9.952,12.258,18.648,28.709,4.836,7.234,11.29,20.628,10.197,11.051,13.845,17.6,50.0,50.0,30.0
IC00057,LOT17,CMOS_LOGIC,126.27,9.612,9.926,10.025,10.638,4.898,5.004,5.178,5.363,9.63,9.705,9.777,9.829,50.0,50.0,30.0
IC00502,LOT02,MICROCONTROLLER,122.57,10.484,10.758,11.107,68.867,5.308,5.519,5.89,69.513,10.463,10.551,10.799,44.402,50.0,50.0,30.0
IC00760,LOT20,SRAM,127.43,9.806,9.929,10.247,10.505,4.592,4.618,4.77,5.164,9.693,9.759,9.87,9.976,50.0,50.0,30.0
IC01366,LOT06,MIXED_SIGNAL_IC,125.79,9.387,9.883,10.073,10.291,4.471,4.584,4.77,5.164,9.39,9.497,9.571,9.639,50.0,50.0,30.0
IC00580,LOT20,MICROCONTROLLER,121.03,9.398,9.702,9.931,10.361,4.913,5.064,5.281,5.485,9.463,9.559,9.688,9.787,50.0,50.0,30.0
IC00718,LOT18,MICROCONTROLLER,123.92,9.667,9.984,10.263,10.669,5.118,5.375,5.479,5.725,9.493,9.532,9.629,9.74,50.0,50.0,30.0
IC00324,LOT04,MICROCONTROLLER,125.7,9.775,10.311,10.611,11.035,5.436,5.674,5.942,6.183,9.737,9.835,9.925,10.08,50.0,50.0,30.0
IC00162,LOT02,CMOS_LOGIC,123.9,10.322,10.61,11.354,66.969,5.064,5.329,5.457,58.132,10.289,10.355,10.624,37.724,50.0,50.0,30.0
IC00315,LOT15,MIXED_SIGNAL_IC,127.92,9.523,9.913,10.207,10.862,4.383,4.598,4.856,5.045,9.248,9.319,9.459,9.551,50.0,50.0,30.0
IC00597,LOT17,CMOS_LOGIC,127.28,9.21,9.608,9.593,9.764,4.525,4.67,4.828,5.095,9.765,9.874,9.92,10.023,50.0,50.0,30.0
IC01136,LOT16,MIXED_SIGNAL_IC,121.15,9.284,9.579,9.781,10.163,4.531,4.721,4.998,5.148,8.963,9.029,9.08,9.119,50.0,50.0,30.0
IC00058,LOT18,CMOS_LOGIC,127.26,10.094,10.405,10.6,10.848,5.303,5.434,5.65,5.861,9.947,10.048,10.092,10.182,50.0,50.0,30.0
IC00821,LOT01,SRAM,125.22,10.287,10.709,11.282,63.156,4.847,5.109,5.376,60.385,10.045,10.133,10.395,35.257,50.0,50.0,30.0
